Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3300000,1.3099883,3.7802753,999.0,45.522905349731445,45.522905349731445,1.0
3310000,1.3099883,3.6589103,999.0,33.94224897027016,33.94224897027016,1.0
3320000,1.3092571,3.6765137,999.0,36.89178389310837,36.89178389310837,1.0
3330000,1.3092315,3.8002267,999.0,39.90943945944309,39.90943945944309,1.0
3340000,1.3085239,3.687163,999.0,37.4914710521698,37.4914710521698,1.0
3350000,1.3084166,3.8073738,999.0,38.98491142690182,38.98491142690182,1.0
3360000,1.3077886,3.815238,999.0,35.33787153661251,35.33787153661251,1.0
3370000,1.3076003,3.7695558,999.0,43.388331055641174,43.388331055641174,1.0
3380000,1.3074445,3.8666532,999.0,41.65932332724333,41.65932332724333,1.0
3390000,1.3073729,3.7472768,999.0,40.606043175794184,40.606043175794184,1.0
3400000,1.3073376,3.7826438,999.0,35.54365926980972,35.54365926980972,1.0
3410000,1.3073081,3.7381513,999.0,37.48679612390697,37.48679612390697,1.0
3420000,1.3071767,3.6960113,999.0,35.195997677743435,35.195997677743435,1.0
3430000,1.3070221,3.837994,999.0,36.55516442656517,36.55516442656517,1.0
3440000,1.3070521,3.7736056,999.0,40.732701659202576,40.732701659202576,1.0
3450000,1.3071067,3.7887578,999.0,36.95652697235346,36.95652697235346,1.0
3460000,1.3071221,3.9193273,999.0,41.83250458538532,41.83250458538532,1.0
3470000,1.3071575,3.824346,999.0,40.73116907477379,40.73116907477379,1.0
3480000,1.3070592,3.8255677,999.0,38.542647775262594,38.542647775262594,1.0
3490000,1.3065777,3.8540828,999.0,41.30491477996111,41.30491477996111,1.0
3500000,1.3065534,3.900788,999.0,40.07877939939499,40.07877939939499,1.0
3510000,1.3062822,3.825541,999.0,37.006619084626436,37.006619084626436,1.0
3520000,1.3062822,3.8675263,999.0,38.17646186053753,38.17646186053753,1.0
3530000,1.3058597,3.771367,999.0,36.22767977975309,36.22767977975309,1.0
3540000,1.3058441,3.745084,999.0,38.052857875823975,38.052857875823975,1.0
3550000,1.3058597,3.8439536,999.0,34.99742165952921,34.99742165952921,1.0
3560000,1.3058645,3.8143106,999.0,33.49389010667801,33.49389010667801,1.0
3570000,1.3055444,3.7438288,999.0,39.097970564849675,39.097970564849675,1.0
3580000,1.3054525,3.7099822,999.0,32.71055806055665,32.71055806055665,1.0
3590000,1.3051488,3.818863,999.0,40.00283908843994,40.00283908843994,1.0
3600000,1.3049947,3.687332,999.0,37.84055789373815,37.84055789373815,1.0
3610000,1.3047991,3.780505,999.0,38.2455813549459,38.2455813549459,1.0
3620000,1.3046423,3.7389379,999.0,37.806922644376755,37.806922644376755,1.0
3630000,1.304547,3.729795,999.0,40.38027607277036,40.38027607277036,1.0
3640000,1.3044491,3.7092223,999.0,32.23599271290004,32.23599271290004,1.0
3650000,1.304318,3.637792,999.0,36.822285457048565,36.822285457048565,1.0
3660000,1.3040903,3.7995389,999.0,40.765101075172424,40.765101075172424,1.0
3670000,1.3039823,3.7804222,999.0,36.92194211483002,36.92194211483002,1.0
3680000,1.3037064,3.788155,999.0,39.263376981019974,39.263376981019974,1.0
3690000,1.3036699,3.8541048,999.0,42.22857157792896,42.22857157792896,1.0
3700000,1.3034775,3.8671165,999.0,40.36974219605327,40.36974219605327,1.0
3710000,1.3034494,3.6365027,999.0,31.470425948500633,31.470425948500633,1.0
3720000,1.302828,3.719594,999.0,33.55749014019966,33.55749014019966,1.0
3730000,1.302828,3.6649945,999.0,34.031983867287636,34.031983867287636,1.0
3740000,1.3025228,3.7974312,999.0,42.50531402230263,42.50531402230263,1.0
3750000,1.3025178,3.778888,999.0,36.01898046582937,36.01898046582937,1.0
3760000,1.3022779,3.6826832,999.0,41.59661906957626,41.59661906957626,1.0
3770000,1.3022392,3.7214522,999.0,36.56109624821693,36.56109624821693,1.0
3780000,1.3020767,3.7244077,999.0,38.98956526070833,38.98956526070833,1.0
3790000,1.3020295,3.8830476,999.0,38.058345057070255,38.058345057070255,1.0
3800000,1.3020107,3.9214818,999.0,45.14610154926777,45.14610154926777,1.0
3810000,1.3020037,3.87777,999.0,43.07445526611991,43.07445526611991,1.0
3820000,1.3019619,3.8338804,999.0,36.580731365829706,36.580731365829706,1.0
3830000,1.3019288,3.8943717,999.0,38.8079651594162,38.8079651594162,1.0
3840000,1.3017299,3.7357633,999.0,35.58762155473232,35.58762155473232,1.0
3850000,1.3015116,3.8397317,999.0,37.756358553655446,37.756358553655446,1.0
3860000,1.3013035,3.7748308,999.0,34.462047696113586,34.462047696113586,1.0
3870000,1.3009299,3.7906373,999.0,33.56523956730962,33.56523956730962,1.0
3880000,1.3008014,3.785279,999.0,40.35741810500622,40.35741810500622,1.0
3890000,1.3004628,3.893428,999.0,40.21428867429495,40.21428867429495,1.0
3900000,1.3004249,3.6651106,999.0,31.28371351957321,31.28371351957321,1.0
3910000,1.3002471,3.788013,999.0,29.3531305603683,29.3531305603683,1.0
3920000,1.3002222,3.805749,999.0,43.3235277235508,43.3235277235508,1.0
3930000,1.2998606,3.9006505,999.0,38.370490504428744,38.370490504428744,1.0
3940000,1.2998606,3.7487564,999.0,37.37989715859294,37.37989715859294,1.0
3950000,1.2994404,3.6895409,999.0,33.91800060123205,33.91800060123205,1.0
3960000,1.2994269,3.8378246,999.0,30.958198562264442,30.958198562264442,1.0
3970000,1.2991661,3.675246,999.0,37.888558122329414,37.888558122329414,1.0
3980000,1.2991325,3.9762948,999.0,45.560796320438385,45.560796320438385,1.0
